speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
norcar,Northern Cardinal,Cardinalis cardinalis,L3041917,Dixon Meadow Preserve,2025-04-02 18:00,1.0,40.1003152,-75.2402115,True,False,False,S222558024,
norfli,Northern Flicker,Colaptes auratus,L3041917,Dixon Meadow Preserve,2025-04-02 17:33,1.0,40.1003152,-75.2402115,True,False,False,S222544022,
eursta,European Starling,Sturnus vulgaris,L3041917,Dixon Meadow Preserve,2025-04-02 17:33,42.0,40.1003152,-75.2402115,True,False,False,S222544022,N
houfin,House Finch,Haemorhous mexicanus,L3041917,Dixon Meadow Preserve,2025-04-02 17:33,2.0,40.1003152,-75.2402115,True,False,False,S222544022,N
mallar3,Mallard,Anas platyrhynchos,L3041917,Dixon Meadow Preserve,2025-04-02 11:10,7.0,40.1003152,-75.2402115,True,False,False,S222669748,
rethaw,Red-tailed Hawk,Buteo jamaicensis,L3041917,Dixon Meadow Preserve,2025-04-02 11:10,1.0,40.1003152,-75.2402115,True,False,False,S222669748,
merlin,Merlin,Falco columbarius,L3041917,Dixon Meadow Preserve,2025-04-02 11:10,1.0,40.1003152,-75.2402115,True,False,False,S222669748,
treswa,Tree Swallow,Tachycineta bicolor,L3041917,Dixon Meadow Preserve,2025-04-02 11:10,12.0,40.1003152,-75.2402115,True,False,False,S222669748,
easblu,Eastern Bluebird,Sialia sialis,L3041917,Dixon Meadow Preserve,2025-04-02 11:10,2.0,40.1003152,-75.2402115,True,False,False,S222669748,
fiscro,Fish Crow,Corvus ossifragus,L3041917,Dixon Meadow Preserve,2025-04-02 10:31,5.0,40.1003152,-75.2402115,True,False,False,S222479229,
cangoo,Canada Goose,Branta canadensis,L3041917,Dixon Meadow Preserve,2025-04-02 10:23,2.0,40.1003152,-75.2402115,True,False,False,S222483260,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L3041917,Dixon Meadow Preserve,2025-04-02 10:23,1.0,40.1003152,-75.2402115,True,False,False,S222483260,
amecro,American Crow,Corvus brachyrhynchos,L3041917,Dixon Meadow Preserve,2025-04-02 10:23,2.0,40.1003152,-75.2402115,True,False,False,S222483260,
carwre,Carolina Wren,Thryothorus ludovicianus,L3041917,Dixon Meadow Preserve,2025-04-02 10:23,1.0,40.1003152,-75.2402115,True,False,False,S222483260,
houspa,House Sparrow,Passer domesticus,L3041917,Dixon Meadow Preserve,2025-04-02 10:23,1.0,40.1003152,-75.2402115,True,False,False,S222483260,N
amegfi,American Goldfinch,Spinus tristis,L3041917,Dixon Meadow Preserve,2025-04-02 10:23,2.0,40.1003152,-75.2402115,True,False,False,S222483260,
killde,Killdeer,Charadrius vociferus,L3041917,Dixon Meadow Preserve,2025-04-02 10:18,1.0,40.1003152,-75.2402115,True,False,False,S222568826,
swaspa,Swamp Sparrow,Melospiza georgiana,L3041917,Dixon Meadow Preserve,2025-04-02 10:18,4.0,40.1003152,-75.2402115,True,False,False,S222568826,
baleag,Bald Eagle,Haliaeetus leucocephalus,L3041917,Dixon Meadow Preserve,2025-04-02 09:19,1.0,40.1003152,-75.2402115,True,False,False,S222511604,
blujay,Blue Jay,Cyanocitta cristata,L3041917,Dixon Meadow Preserve,2025-04-02 09:08,1.0,40.1003152,-75.2402115,True,False,False,S222456911,
easpho,Eastern Phoebe,Sayornis phoebe,L3041917,Dixon Meadow Preserve,2025-04-02 07:32,1.0,40.1003152,-75.2402115,True,False,False,S222443839,
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,L3041917,Dixon Meadow Preserve,2025-04-02 07:32,1.0,40.1003152,-75.2402115,True,False,False,S222443839,
dowwoo,Downy Woodpecker,Dryobates pubescens,L3041917,Dixon Meadow Preserve,2025-04-02,,40.1003152,-75.2402115,True,False,False,S222566515,
bnhcow,Brown-headed Cowbird,Molothrus ater,L3041917,Dixon Meadow Preserve,2025-04-02,,40.1003152,-75.2402115,True,False,False,S222566515,
moudov,Mourning Dove,Zenaida macroura,L3041917,Dixon Meadow Preserve,2025-04-03 16:07,1.0,40.1003152,-75.2402115,True,False,False,S222723655,
