speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,1.0,39.9027901,-75.1819754,True,False,False,S351572608,
dowwoo,Downy Woodpecker,Dryobates pubescens,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,1.0,39.9027901,-75.1819754,True,False,False,S351572608,
norfli,Northern Flicker,Colaptes auratus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,1.0,39.9027901,-75.1819754,True,False,False,S351572608,
eawpew,Eastern Wood-Pewee,Contopus virens,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,1.0,39.9027901,-75.1819754,True,False,False,S351572608,
easkin,Eastern Kingbird,Tyrannus tyrannus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,2.0,39.9027901,-75.1819754,True,False,False,S351572608,
eawvir1,Eastern Warbling Vireo,Vireo gilvus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,4.0,39.9027901,-75.1819754,True,False,False,S351572608,
blujay,Blue Jay,Cyanocitta cristata,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,3.0,39.9027901,-75.1819754,True,False,False,S351572608,
amecro,American Crow,Corvus brachyrhynchos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,3.0,39.9027901,-75.1819754,True,False,False,S351572608,
treswa,Tree Swallow,Tachycineta bicolor,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,,39.9027901,-75.1819754,True,False,False,S351572608,
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,4.0,39.9027901,-75.1819754,True,False,False,S351572608,
buggna,Blue-gray Gnatcatcher,Polioptila caerulea,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,3.0,39.9027901,-75.1819754,True,False,False,S351572608,
grycat,Gray Catbird,Dumetella carolinensis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,7.0,39.9027901,-75.1819754,True,False,False,S351572608,
amerob,American Robin,Turdus migratorius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,,39.9027901,-75.1819754,True,False,False,S351572608,
cedwax,Cedar Waxwing,Bombycilla cedrorum,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,32.0,39.9027901,-75.1819754,True,False,False,S351572608,
houspa,House Sparrow,Passer domesticus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,1.0,39.9027901,-75.1819754,True,False,False,S351572608,N
houfin,House Finch,Haemorhous mexicanus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,2.0,39.9027901,-75.1819754,True,False,False,S351572608,N
amegfi,American Goldfinch,Spinus tristis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,2.0,39.9027901,-75.1819754,True,False,False,S351572608,
chispa,Chipping Sparrow,Spizella passerina,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,1.0,39.9027901,-75.1819754,True,False,False,S351572608,
sonspa,Song Sparrow,Melospiza melodia,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,3.0,39.9027901,-75.1819754,True,False,False,S351572608,
balori,Baltimore Oriole,Icterus galbula,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,3.0,39.9027901,-75.1819754,True,False,False,S351572608,
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,,39.9027901,-75.1819754,True,False,False,S351572608,
comgra,Common Grackle,Quiscalus quiscula,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,5.0,39.9027901,-75.1819754,True,False,False,S351572608,
yelwar1,Northern Yellow Warbler,Setophaga aestiva,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-02 17:35:00,2.0,39.9027901,-75.1819754,True,False,False,S351572608,
mallar3,Mallard,Anas platyrhynchos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1.0,39.9027901,-75.1819754,True,False,False,S352722929,
moudov,Mourning Dove,Zenaida macroura,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1.0,39.9027901,-75.1819754,True,False,False,S352722929,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1.0,39.9027901,-75.1819754,True,False,False,S352722929,
eawpew,Eastern Wood-Pewee,Contopus virens,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1.0,39.9027901,-75.1819754,True,False,False,S352722929,
grcfly,Great Crested Flycatcher,Myiarchus crinitus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,3.0,39.9027901,-75.1819754,True,False,False,S352722929,
easkin,Eastern Kingbird,Tyrannus tyrannus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1.0,39.9027901,-75.1819754,True,False,False,S352722929,
eawvir1,Eastern Warbling Vireo,Vireo gilvus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1.0,39.9027901,-75.1819754,True,False,False,S352722929,
treswa,Tree Swallow,Tachycineta bicolor,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,2.0,39.9027901,-75.1819754,True,False,False,S352722929,
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,10.0,39.9027901,-75.1819754,True,False,False,S352722929,
eursta,European Starling,Sturnus vulgaris,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1.0,39.9027901,-75.1819754,True,False,False,S352722929,N
grycat,Gray Catbird,Dumetella carolinensis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,10.0,39.9027901,-75.1819754,True,False,False,S352722929,
amerob,American Robin,Turdus migratorius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,40.0,39.9027901,-75.1819754,True,False,False,S352722929,
cedwax,Cedar Waxwing,Bombycilla cedrorum,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,3.0,39.9027901,-75.1819754,True,False,False,S352722929,
houspa,House Sparrow,Passer domesticus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1.0,39.9027901,-75.1819754,True,False,False,S352722929,N
houfin,House Finch,Haemorhous mexicanus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,3.0,39.9027901,-75.1819754,True,False,False,S352722929,N
sonspa,Song Sparrow,Melospiza melodia,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,2.0,39.9027901,-75.1819754,True,False,False,S352722929,
balori,Baltimore Oriole,Icterus galbula,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,3.0,39.9027901,-75.1819754,True,False,False,S352722929,
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,40.0,39.9027901,-75.1819754,True,False,False,S352722929,
bnhcow,Brown-headed Cowbird,Molothrus ater,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,5.0,39.9027901,-75.1819754,True,False,False,S352722929,
comyel,Common Yellowthroat,Geothlypis trichas,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,2.0,39.9027901,-75.1819754,True,False,False,S352722929,
norcar,Northern Cardinal,Cardinalis cardinalis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,3.0,39.9027901,-75.1819754,True,False,False,S352722929,
indbun,Indigo Bunting,Passerina cyanea,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1.0,39.9027901,-75.1819754,True,False,False,S352722929,
bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1.0,39.9027901,-75.1819754,True,True,False,S353571705,
eawvir1,Eastern Warbling Vireo,Vireo gilvus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1.0,39.9027901,-75.1819754,True,False,False,S353571705,
treswa,Tree Swallow,Tachycineta bicolor,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1.0,39.9027901,-75.1819754,True,False,False,S353571705,
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,2.0,39.9027901,-75.1819754,True,False,False,S353571705,
buggna,Blue-gray Gnatcatcher,Polioptila caerulea,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1.0,39.9027901,-75.1819754,True,False,False,S353571705,
amerob,American Robin,Turdus migratorius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,3.0,39.9027901,-75.1819754,True,False,False,S353571705,
amegfi,American Goldfinch,Spinus tristis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1.0,39.9027901,-75.1819754,True,False,False,S353571705,
balori,Baltimore Oriole,Icterus galbula,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,2.0,39.9027901,-75.1819754,True,False,False,S353571705,
yelwar1,Northern Yellow Warbler,Setophaga aestiva,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1.0,39.9027901,-75.1819754,True,False,False,S353571705,
norcar,Northern Cardinal,Cardinalis cardinalis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1.0,39.9027901,-75.1819754,True,False,False,S353571705,
mallar3,Mallard,Anas platyrhynchos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:40:00,5.0,39.9027901,-75.1819754,True,False,False,S354555898,
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:40:00,3.0,39.9027901,-75.1819754,True,False,False,S354555898,
comgra,Common Grackle,Quiscalus quiscula,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:40:00,1.0,39.9027901,-75.1819754,True,False,False,S354555898,
moudov,Mourning Dove,Zenaida macroura,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,2.0,39.9027901,-75.1819754,True,False,False,S353582932,
osprey,Osprey,Pandion haliaetus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,1.0,39.9027901,-75.1819754,True,False,False,S353582932,
norfli,Northern Flicker,Colaptes auratus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,1.0,39.9027901,-75.1819754,True,False,False,S353582932,
grycat,Gray Catbird,Dumetella carolinensis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,4.0,39.9027901,-75.1819754,True,False,False,S353582932,
cedwax,Cedar Waxwing,Bombycilla cedrorum,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,15.0,39.9027901,-75.1819754,True,False,False,S353582932,
bnhcow,Brown-headed Cowbird,Molothrus ater,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,1.0,39.9027901,-75.1819754,True,False,False,S353582932,
comyel,Common Yellowthroat,Geothlypis trichas,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,1.0,39.9027901,-75.1819754,True,False,False,S353582932,
rocpig,Rock Pigeon,Columba livia,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,4.0,39.9027901,-75.1819754,True,False,False,S353627820,N
chiswi,Chimney Swift,Chaetura pelagica,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1.0,39.9027901,-75.1819754,True,False,False,S353627820,
