speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
cangoo,Canada Goose,Branta canadensis,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,1,39.8876082,-75.1659143,True,False,False,S368153472,
rocpig,Rock Pigeon,Columba livia,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,1,39.8876082,-75.1659143,True,False,False,S368153472,N
moudov,Mourning Dove,Zenaida macroura,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,1,39.8876082,-75.1659143,True,False,False,S368153472,
doccor,Double-crested Cormorant,Nannopterum auritum,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,3,39.8876082,-75.1659143,True,False,False,S368153472,
osprey,Osprey,Pandion haliaetus,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,2,39.8876082,-75.1659143,True,False,False,S368153472,
barswa,Barn Swallow,Hirundo rustica,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,1,39.8876082,-75.1659143,True,False,False,S368153472,
eursta,European Starling,Sturnus vulgaris,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,2,39.8876082,-75.1659143,True,False,False,S368153472,N
grycat,Gray Catbird,Dumetella carolinensis,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,1,39.8876082,-75.1659143,True,False,False,S368153472,
normoc,Northern Mockingbird,Mimus polyglottos,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,1,39.8876082,-75.1659143,True,False,False,S368153472,
amerob,American Robin,Turdus migratorius,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,1,39.8876082,-75.1659143,True,False,False,S368153472,
cedwax,Cedar Waxwing,Bombycilla cedrorum,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,2,39.8876082,-75.1659143,True,False,False,S368153472,
amegfi,American Goldfinch,Spinus tristis,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,1,39.8876082,-75.1659143,True,False,False,S368153472,
balori,Baltimore Oriole,Icterus galbula,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,2,39.8876082,-75.1659143,True,False,False,S368153472,
yelwar1,Northern Yellow Warbler,Setophaga aestiva,L1069194,Philadelphia Naval Yard (restricted access),2026-07-05 07:02,1,39.8876082,-75.1659143,True,False,False,S368153472,
mallar3,Mallard,Anas platyrhynchos,L3041917,Dixon Meadow Preserve,2026-07-05 06:55,3,40.1003152,-75.2402115,True,False,False,S368283532,
moudov,Mourning Dove,Zenaida macroura,L3041917,Dixon Meadow Preserve,2026-07-05 06:55,3,40.1003152,-75.2402115,True,False,False,S368283532,
chiswi,Chimney Swift,Chaetura pelagica,L3041917,Dixon Meadow Preserve,2026-07-05 06:55,1,40.1003152,-75.2402115,True,False,False,S368283532,
grbher3,Great Blue Heron,Ardea herodias,L3041917,Dixon Meadow Preserve,2026-07-05 06:55,1,40.1003152,-75.2402115,True,False,False,S368283532,
osprey,Osprey,Pandion haliaetus,L3041917,Dixon Meadow Preserve,2026-07-05 06:55,1,40.1003152,-75.2402115,True,False,False,S368283532,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L3041917,Dixon Meadow Preserve,2026-07-05 06:55,1,40.1003152,-75.2402115,True,False,False,S368283532,
norfli,Northern Flicker,Colaptes auratus,L3041917,Dixon Meadow Preserve,2026-07-05 06:55,2,40.1003152,-75.2402115,True,False,False,S368283532,
wilfly,Willow Flycatcher,Empidonax traillii,L3041917,Dixon Meadow Preserve,2026-07-05 06:55,1,40.1003152,-75.2402115,True,False,False,S368283532,
grcfly,Great Crested Flycatcher,Myiarchus crinitus,L3041917,Dixon Meadow Preserve,2026-07-05 06:55,1,40.1003152,-75.2402115,True,False,False,S368283532,
